,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
35969,5.0,3.0,6.0,1.0,-1.0,4.0,-1.0,7.0,6.0,4.0,6.0,6.0,-1.0,7.0,3.0,-1.0,7.0,-1.0,-1.0,-1.0,
36351,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,9.0,8.0,8.0,9.0,
3681,7.0,7.0,6.0,5.0,6.0,7.0,6.0,8.0,8.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,9.0,8.0,6.0,6.5,
37306,4.0,1.0,5.0,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
3789,8.0,8.0,9.0,10.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,
37946,8.0,6.0,7.0,7.0,6.0,8.0,4.0,8.0,6.0,6.0,7.0,5.0,4.0,8.0,6.0,3.0,8.0,3.0,1.0,8.0,
38127,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,6.0,6.0,5.0,7.0,8.0,7.0,6.0,9.0,6.0,7.0,-1.0,
38426,-1.0,2.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
39084,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,6.0,6.0,6.0,-1.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,
39123,4.0,4.0,6.0,2.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
39141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,6.0,4.0,-1.0,7.0,6.0,-1.0,
39315,7.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,7.0,7.0,9.0,6.0,6.0,9.0,7.0,5.0,6.0,
39733,3.0,2.0,2.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
39827,3.0,3.0,4.0,2.0,4.0,7.0,1.0,9.0,4.0,5.0,6.0,3.0,5.0,8.0,6.0,3.0,6.0,6.0,2.0,7.0,
4007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,7.0,7.0,
40273,7.0,7.0,10.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
40522,8.0,9.0,9.0,7.0,8.0,7.0,8.0,9.0,6.0,6.0,6.0,6.0,9.0,7.0,4.0,6.0,8.0,1.0,6.0,7.0,
40602,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,6.0,8.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,6.0,7.0,
41457,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,-1.0,7.0,8.0,7.0,7.0,9.0,6.0,7.0,
